Data Table for Daily Death Trends - North Carolina,,,
Date generated: Sat Mar 05 2022 21:13:50 GMT-0500 (Eastern Standard Time),,,
State,Date,New Deaths,Day
North Carolina,May 24 2020,21,84
North Carolina,May 23 2020,20,83
North Carolina,May 22 2020,18,82
North Carolina,May 21 2020,15,81
North Carolina,May 20 2020,19,80
North Carolina,May 19 2020,12,79
North Carolina,May 18 2020,15,78
North Carolina,May 17 2020,11,77
North Carolina,May 16 2020,8,76
North Carolina,May 15 2020,14,75
North Carolina,May 14 2020,14,74
North Carolina,May 13 2020,18,73
North Carolina,May 12 2020,15,72
North Carolina,May 11 2020,25,71
North Carolina,May 10 2020,11,70
North Carolina,May  9 2020,19,69
North Carolina,May  8 2020,19,68
North Carolina,May  7 2020,12,67
North Carolina,May  6 2020,25,66
North Carolina,May  5 2020,18,65
North Carolina,May  4 2020,19,64
North Carolina,May  3 2020,13,63
North Carolina,May  2 2020,17,62
North Carolina,May  1 2020,14,61
North Carolina,Apr 30 2020,19,60
North Carolina,Apr 29 2020,15,59
North Carolina,Apr 28 2020,15,58
North Carolina,Apr 27 2020,24,57
North Carolina,Apr 26 2020,21,56
North Carolina,Apr 25 2020,16,55
North Carolina,Apr 24 2020,17,54
North Carolina,Apr 23 2020,13,53
North Carolina,Apr 22 2020,20,52
North Carolina,Apr 21 2020,18,51
North Carolina,Apr 20 2020,15,50
North Carolina,Apr 19 2020,19,49
North Carolina,Apr 18 2020,14,48
North Carolina,Apr 17 2020,26,47
North Carolina,Apr 16 2020,23,46
North Carolina,Apr 15 2020,16,45
North Carolina,Apr 14 2020,17,44
North Carolina,Apr 13 2020,18,43
North Carolina,Apr 12 2020,9,42
North Carolina,Apr 11 2020,7,41
North Carolina,Apr 10 2020,10,40
North Carolina,Apr  9 2020,9,39
North Carolina,Apr  8 2020,9,38
North Carolina,Apr  7 2020,4,37
North Carolina,Apr  6 2020,9,36
North Carolina,Apr  5 2020,11,35
North Carolina,Apr  4 2020,11,34
North Carolina,Apr  3 2020,3,33
North Carolina,Apr  2 2020,9,32
North Carolina,Apr  1 2020,3,31
North Carolina,Mar 31 2020,2,30
North Carolina,Mar 30 2020,4,29
North Carolina,Mar 29 2020,1,28
North Carolina,Mar 28 2020,1,27
North Carolina,Mar 27 2020,1,26
North Carolina,Mar 26 2020,1,25
North Carolina,Mar 25 2020,1,24
North Carolina,Mar 24 2020,0,23
North Carolina,Mar 23 2020,1,22
North Carolina,Mar 22 2020,0,21
